Implementation,Model,Training Samples,Test Samples,Loss,Accuracy,Precision,Recall,F1,Parameters,Train Time (s)
NumPy,Scratch CNN,5000,2000,0.5225570555027194,0.8275,0.8444592829177262,0.8291096455816591,0.8283346647885652,32618,27.3011445000011
PyTorch,Baseline CNN,48000,10000,0.029948915693769233,0.9895,0.989602343273939,0.9893702132468173,0.989467516036564,421642,111.95809910000025
PyTorch,Improved CNN,48000,10000,0.034024047091719696,0.9899,0.9900741159612731,0.9898576364505919,0.9899296859360787,897354,188.3943051999995
TensorFlow,Baseline CNN,48000,10000,0.0313899964094162,0.989,0.9889132192155687,0.988975947797407,0.9889237478502118,421642,53.787402800000564
TensorFlow,Improved CNN,48000,10000,0.0430854894220829,0.988,0.988282447441002,0.9880177614757283,0.9880603625902051,897578,177.82666170000084
