id,detail_url,title,location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
168162,https://batdongsan.vn/can-nhuong-gap-quan-com-binh-dan-mat-duong-cau-buou-p-kien-hung-qha-dong-ha-noi-r168162,"CẦN NHƯỢNG GẤP QUÁN CƠM BÌNH DÂN - MẶT ĐƯỜNG CẦU BƯƠU, P. KIẾN HƯNG, Q.HÀ ĐÔNG, HÀ NỘI","Hà Đông, Hà Nội",3600,70.0,,,,True,65.0
168164,https://batdongsan.vn/nha-dep-kim-giang-o-to-gan-dien-tich-khung-62m2-gia-nhe-tenh-chi-hon-11-ty-r168164,NHÀ ĐẸP KIM GIANG Ô TÔ GẦN  – DIỆN TÍCH KHỦNG 62M2 – GIÁ NHẸ TÊNH  CHỈ HƠN 11 TỶ,"Thanh Xuân, Hà Nội",3600,62.0,,,5.0,False,0.0
168143,https://batdongsan.vn/ban-bt-5pn-5wc-tai-duong-ba-trac-185-ty-96m2-q8-hcm-r168143,"Bán BT 5PN, 5WC tại Dương Bá Trạc, 18,5 tỷ, 96m2, Q8, HCM","Quận 8, Hồ Chí Minh",3600,96.0,5.0,5.0,5.0,False,18500.0
168145,https://batdongsan.vn/biet-thu-quan-8-chill-vip-can-ban-thuong-luong-r168145,"biệt thự quận 8, chill, vip, cần bán, thương lượng","Quận 8, Hồ Chí Minh",3600,96.0,5.0,5.0,5.0,False,18500.0
168168,https://batdongsan.vn/ban-dat-kien-a-5x25-gia-80trm2-sat-global-city-r168168,Bán đất Kiến Á 5x25 giá 80tr/m2 sát Global City,"Quận 9, Hồ Chí Minh",3600,125.0,,,,False,10000.0
168172,https://batdongsan.vn/nha-hem-thong-bui-minh-truc-pham-the-hien-p6q8-r168172,Nhà hẻm thông Bùi Minh Trực-Phạm Thế Hiển P6Q8,"Quận 8, Hồ Chí Minh",3600,36.0,2.0,2.0,,False,4050.0
168175,https://batdongsan.vn/nha-lo-goc-2-mat-tien-cho-phu-hop-cho-khach-vua-o-vua-kinh-doanh-mua-ban-dt11-x-20-190m2-r168175,"NHÀ LÔ GÓC 2 MẶT TIỀN CHỢ - PHÙ HỢP CHO KHÁCH VỪA Ở VỪA KINH DOANH MUA BÁN, DT11 x 20 = 190m2","Quận 12, Hồ Chí Minh",3600,190.0,1.0,1.0,,True,16400.0
167990,https://batdongsan.vn/ban-nha-pho-bo-de-60m2-6t-gara-2-o-to-full-noi-that-kinh-doanh-dong-tien-4pn-1x-ty-r167990,"Bán Nhà Phố Bồ Đề 60m2 6T, Gara 2 Ô Tô. Full Nội Thất, Kinh Doanh, Dòng Tiền, 4PN, 1X Tỷ","Long Biên, Hà Nội",3600,60.0,4.0,5.0,,False,18100.0
167954,https://batdongsan.vn/nha-mat-pho-phan-xich-long-phu-nhuan-phu-nhuan-54m2-4pn-co-thang-may-cho-thue-450tr-r167954,"Nhà mặt phố Phan Xích Long, Phú Nhuận Phú Nhuận 54m2 4PN có thang máy, cho thuê 450tr","Phú Nhuận, Hồ Chí Minh",3600,54.0,4.0,,3.0,True,11880.0
167958,https://batdongsan.vn/toa-nha-van-phong-dang-thuy-tram-binh-thanh-r167958,"Toà nhà văn phòng Đặng Thùy Trâm, Bình Thạnh","Bình Thạnh, Hồ Chí Minh",3600,120.0,5.0,,5.0,False,20000.0
