Implementation,Model,Loss,Accuracy,Precision,Recall,F1,Parameters,Train Time (s)
PyTorch,Baseline CNN,0.8671354477882385,0.7056,0.7084763279677316,0.7055999999999999,0.7040512626976935,545098,667.4126939999405
PyTorch,Improved CNN,0.6909190845489502,0.7624,0.7804804161488892,0.7624,0.761691958412699,141034,694.5957308000652
TensorFlow,Baseline CNN,0.9165902137756348,0.6922,0.7034991814146101,0.6922,0.6934898089264696,545098,95.89135130005889
TensorFlow,Improved CNN,1.1733940839767456,0.6124,0.7210596565728071,0.6124,0.6009943454534504,141674,361.09591849998105
