Implementation,Model,Loss,Accuracy,Precision,Recall,F1,Parameters,Train Time (s)
PyTorch,Baseline CNN,0.2407903379678726,0.9116,0.9118093734836268,0.9116,0.9111568753994316,421642,71.67881079996005
PyTorch,Improved CNN,0.21366393024027347,0.9254,0.9257230799834968,0.9254,0.9248158264457622,897354,112.19493279990274
TensorFlow,Baseline CNN,0.2949911653995514,0.8929,0.9057501149606747,0.8929,0.8952217630493149,421642,31.211607299977913
TensorFlow,Improved CNN,0.2501866817474365,0.9082,0.9144235339123767,0.9082000000000001,0.9095903138236876,897578,81.5978745999746
